Protein accession numbers
ENOA_HUMAN
ENOA_HUMAN
RAC1_HUMAN
RAC1_HUMAN
RAC1_HUMAN
USP9X_HUMAN
USP9X_HUMAN
USP9X_HUMAN
USP9X_HUMAN
GMPR2_HUMAN
GMPR2_HUMAN
GBB2_HUMAN
UBP7_HUMAN
UBP7_HUMAN
UBP7_HUMAN
ACOT1_HUMAN
ACOT2_HUMAN
ACOT4_HUMAN
ACOT6_HUMAN
DNM1L_HUMAN
DNM1L_HUMAN
ERO1A_HUMAN
KIFC1_HUMAN
KIFC1_HUMAN
A16A1_HUMAN
6PGL_HUMAN
EIF3G_HUMAN
1433E_HUMAN
1433E_HUMAN
PP2AA_HUMAN
PP2AB_HUMAN
PP2AA_HUMAN
PP2AB_HUMAN
GTPB6_HUMAN
MTG1_HUMAN
MTG1_HUMAN
MTG1_HUMAN
MTG1_HUMAN
MD2L1_HUMAN
RN213_HUMAN
KLC1_HUMAN
KLC1_HUMAN
DESP_HUMAN
DESP_HUMAN
DESP_HUMAN
DESP_HUMAN
DESP_HUMAN
DESP_HUMAN
DESP_HUMAN
RM10_HUMAN
OBSCN_HUMAN
OBSCN_HUMAN
OBSCN_HUMAN
FXR1_HUMAN
FAKD2_HUMAN
FAKD2_HUMAN
FAKD2_HUMAN
FAKD2_HUMAN
TRRAP_HUMAN
FCL_HUMAN
PLPP_HUMAN
RRP5_HUMAN
NDUA5_HUMAN
NDUA5_HUMAN
RS27A_HUMAN
RS27A_HUMAN
RT29_HUMAN
RT29_HUMAN
KI20A_HUMAN
TCPZ_HUMAN
LANC1_HUMAN
S2551_HUMAN
CALR_HUMAN
RTN4_HUMAN
RTN4_HUMAN
PDE12_HUMAN
PDE12_HUMAN
RRBP1_HUMAN
RRBP1_HUMAN
DEN4C_HUMAN
RL3_HUMAN
ANLN_HUMAN
CDC37_HUMAN
MTNA_HUMAN
DYHC1_HUMAN
DYHC1_HUMAN
DYHC1_HUMAN
MIC60_HUMAN
ENV2_HUMAN
KCC2D_HUMAN
KCC2D_HUMAN
TADBP_HUMAN
TADBP_HUMAN
TADBP_HUMAN
TADBP_HUMAN
NOP58_HUMAN
THUM3_HUMAN
