0
G3V010_HUMAN
TOM40_HUMAN
RRAGC_HUMAN
TCPH_HUMAN
A0A1W2P6P1_HUMAN
AP2A1_HUMAN
F6V084_HUMAN
PGP_HUMAN
MTNB_HUMAN
OVCA2_HUMAN
SRRT_HUMAN
SGTA_HUMAN
LCAP_HUMAN
A0A1W2P7I5_HUMAN
IMDH2_HUMAN
TMX1_HUMAN
Z4YJV4_HUMAN
PRP8_HUMAN
ARF4_HUMAN
TXN4A_HUMAN
PFD3_HUMAN
A0A0G2JGI1_HUMAN
O08797_HUMAN
A0A0R4J0Q5_HUMAN
COQ5_HUMAN
A0A0G2JDF8_HUMAN
E9QA63_HUMAN
IDHG1_HUMAN
A0A571BF93_HUMAN
RL7L_HUMAN
F8WJI6_HUMAN
LMNB2_HUMAN
A0A3Q4EI12_HUMAN
G3UZX1_HUMAN
COPG1_HUMAN
ARF5_HUMAN
A0A0A6YXS4_HUMAN
F7ACR9_HUMAN
HNRPM_HUMAN
Q3TIR6_HUMAN
A0A452J8C1_HUMAN
MESD_HUMAN
E9Q798_HUMAN
A0A0A0MQA6_HUMAN
A2AMW0_HUMAN
CAPZB_HUMAN
D9J302_HUMAN
FLNA_HUMAN
A2AIW9_HUMAN
FBRL_HUMAN
DDX1_HUMAN
A0A0N4SW31_HUMAN
A0A0N4SV00_HUMAN
D3Z629_HUMAN
COPA_HUMAN
ARPC5_HUMAN
F6ZGI7_HUMAN
ECHA_HUMAN
F7CAZ6_HUMAN
A0A0G2JFD8_HUMAN
A0A0G2JEX1_HUMAN
LIS1_HUMAN
GTR1_HUMAN
D9J300_HUMAN
B1ARU4_HUMAN
Q9DAV6_HUMAN
E9QNP1_HUMAN
A0A1W2P727_HUMAN
MPPA_HUMAN
ANXA3_HUMAN
H31_HUMAN
HYEP_HUMAN
A0A571BGC6_HUMAN
F6Q750_HUMAN
MACF1_HUMAN
D9J301_HUMAN
UBE3A_HUMAN
TR10B_HUMAN
F6YTS6_HUMAN
B7FAU9_HUMAN
A0A0G2JES3_HUMAN
GCN1_HUMAN
PDLI5_HUMAN
IF2A_HUMAN
SF3B3_HUMAN
ADHX_HUMAN
MYH9_HUMAN
B7FAV1_HUMAN
A0A140T8T4_HUMAN
RCC1_HUMAN
SYVC_HUMAN
E9QAK5_HUMAN
Q3UA72_HUMAN
F8WHL2_HUMAN
Q3U6K9_HUMAN
D3YZT0_HUMAN
FLOT1_HUMAN
Q3U2G2_HUMAN
E9PWE8_HUMAN
F6QC77_HUMAN
HACL2_HUMAN
ODO1_HUMAN
RUVB2_HUMAN
A0A1W2P6L8_HUMAN
G3UY93_HUMAN
Q6PFB2_HUMAN
GCN1_HUMAN
RL12_HUMAN
HS74L_HUMAN
RS2_HUMAN
Q3TT92_HUMAN
E9Q7G1_HUMAN
HXK2_HUMAN
1433F_HUMAN
B8JK32_HUMAN
E9Q5B5_HUMAN
EIF3C_HUMAN
E0CY23_HUMAN
FERM2_HUMAN
PDIA3_HUMAN
FLNC_HUMAN
SERA_HUMAN
D3YZZ5_HUMAN
A0A571BDS0_HUMAN
D3YWJ3_HUMAN
D3Z7P4_HUMAN
E9Q6P1_HUMAN
F8WGB3_HUMAN
