Uniprot ID
ENPL_HUMAN
TPP2_HUMAN
VMA5A_HUMAN
AAPK2_HUMAN
CCHL_HUMAN
ELP2_HUMAN
SYCM_HUMAN
PAPOA_HUMAN
KI67_HUMAN
TBB2A_HUMAN
NEK7_HUMAN
SDHB_HUMAN
FBXW7_HUMAN
FHOD1_HUMAN
CAN2_HUMAN
RBP2_HUMAN
QCR2_HUMAN
CSRP1_HUMAN
IPO7_HUMAN
SNX7_HUMAN
KS6A3_HUMAN
NSDHL_HUMAN
RS21_HUMAN
GNA13_HUMAN
SEC63_HUMAN
PIN1_HUMAN
HSP7C_HUMAN
GBB1_HUMAN
HD_HUMAN
RL12_HUMAN
DCAF1_HUMAN
MAP2_HUMAN
EIF3D_HUMAN
FAS_HUMAN
AT2A2_HUMAN
HERC4_HUMAN
RCC2_HUMAN
CALR_HUMAN
SC23B_HUMAN
RAE1L_HUMAN
DCTN1_HUMAN
RL10_HUMAN
NHLC2_HUMAN
MYL4_HUMAN
TRIPC_HUMAN
SPAG7_HUMAN
TOP3B_HUMAN
NUP93_HUMAN
CSK_HUMAN
DNMT1_HUMAN
MTHSD_HUMAN
UBP28_HUMAN
MIF_HUMAN
DNPEP_HUMAN
UQCC2_HUMAN
STIP1_HUMAN
PPIA_HUMAN
ARHG2_HUMAN
SUCA_HUMAN
SRC8_HUMAN
USP9X_HUMAN
LRRF1_HUMAN
ARHL1_HUMAN
PRP19_HUMAN
F16B1_HUMAN
PDIA1_HUMAN
ANLN_HUMAN
ACTN4_HUMAN
DX39B_HUMAN
SMC2_HUMAN
M3K20_HUMAN
RS2_HUMAN
PDC6I_HUMAN
PPIA_HUMAN
CMTR2_HUMAN
DNLI1_HUMAN
VPS53_HUMAN
EMC8_HUMAN
HA1K_HUMAN
AATC_HUMAN
TACC2_HUMAN
FYCO1_HUMAN
AT2A2_HUMAN
EIF2D_HUMAN
MLEC_HUMAN
SH3G1_HUMAN
I5P2_HUMAN
TPIS_HUMAN
EXOS3_HUMAN
RIOK2_HUMAN
SUCB1_HUMAN
HMGCL_HUMAN
TFP11_HUMAN
LAGE3_HUMAN
RS27L_HUMAN
SMC1A_HUMAN
CHRC1_HUMAN
MGLL_HUMAN
PELO_HUMAN
LDHA_HUMAN
STX5_HUMAN
BIRC6_HUMAN
KIFC1_HUMAN
PPCE_HUMAN
SYMPK_HUMAN
UBP7_HUMAN
NDUB9_HUMAN
CNN2_HUMAN
IF2A_HUMAN
AT2A2_HUMAN
EXOC5_HUMAN
NOP56_HUMAN
OSGP2_HUMAN
RPR1B_HUMAN
CLIC4_HUMAN
DEST_HUMAN
PPOX_HUMAN
PCBP2_HUMAN
SCOT1_HUMAN
CSTF2_HUMAN
FLNA_HUMAN
BAG3_HUMAN
CISD2_HUMAN
RS6_HUMAN
ARHGC_HUMAN
XIRP1_HUMAN
KIF4_HUMAN
PDLI5_HUMAN
ECHB_HUMAN
NUMA1_HUMAN
PEF1_HUMAN
VDAC1_HUMAN
IDHP_HUMAN
GSTM7_HUMAN
TASOR_HUMAN
UBP7_HUMAN
NDUV1_HUMAN
OPLA_HUMAN
DIP2B_HUMAN
MDHC_HUMAN
MRRP1_HUMAN
MYG_HUMAN
DYHC1_HUMAN
MMS19_HUMAN
IGEB_HUMAN
SYAC_HUMAN
ERP29_HUMAN
ANXA7_HUMAN
SNX6_HUMAN
TIPRL_HUMAN
PML_HUMAN
OXSR1_HUMAN
